Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
The Last Unicorn,1982,"Jules Bass, Arthur Rankin Jr.",/movie/the-last-unicorn/,The Last Unicorn,1982,"Jules Bass, Arthur Rankin Jr.",0.7,92,A brave unicorn and a magician fight an evil King who is obsessed with attempting to capture the world's unicorns.,Peter S. Beagle
Princess Mononoke,1997,Hayao Miyazaki,/movie/princess-mononoke/,Princess Mononoke,1999,Hayao Miyazaki,0.76,134,The mythological tale of a war between encroaching civilization and the beast gods of the forest.  (Miramax),Hayao Miyazaki
Millennium Actress,2001,"Satoshi Kon, Kô Matsuo",/movie/millennium-actress/,Millennium Actress,2003,"Satoshi Kon, Kô Matsuo",0.7,87,"In this unique epic adventure, the lines between the past and the present, and truth and fiction, are blurred when a documentary filmmaker fulfills his quest to find the legendary actress Chiyoko Fujiwara, and learn why she mysteriously vanished at the height of her brilliant career.  (Go Fish Pictures)","Satoshi Kon, Sadayuki Murai"
Akira,1988,Katsuhiro Ôtomo,/movie/akira/,Akira,1989,Katsuhiro Ôtomo,0.68,124,"Based on Katsuhiro Otomo's 2,000 page manga, Akira begins on July 16, 1988, when what was believed to be an atomic bomb was dropped on Tokyo, completely destroying the city and marking the beginning of WWIII.","Katsuhiro Ôtomo, Izô Hashimoto"
All the Beauty and the Bloodshed,2022,Laura Poitras,/movie/all-the-beauty-and-the-bloodshed/,All the Beauty and the Bloodshed,2022,Laura Poitras,0.91,113,"All the Beauty and the Bloodshed is an epic, emotional and interconnected story about internationally renowned artist and activist Nan Goldin told through her slideshows, intimate interviews, ground-breaking photography, and rare footage of her personal fight to hold the Sackler family accountable for the overdose crisis. [Neon]",
Ex Machina,2014,Alex Garland,/movie/ex-machina/,Ex Machina,2015,Alex Garland,0.78,108,"Caleb Smith (Domhnall Gleeson), a programmer at an internet-search giant, wins a competition to spend a week at the private mountain estate of the company’s brilliant and reclusive CEO, Nathan Bateman (Oscar Isaac). Upon his arrival, Caleb learns that Nathan has chosen him to be the human component in a Turing Test—charging him with eval...",Alex Garland
Harold & Kumar Go to White Castle,2004,Danny Leiner,/movie/harold-kumar-go-to-white-castle/,Harold & Kumar Go to White Castle,2004,Danny Leiner,0.64,88,"In the great cinematic tradition of ""Road Trip"" and ""Dude, Where's My Car?"" comes Harold and Kumar Go to White Castle, which follows two likeable underdogs who set out on a Friday night quest to satisfy their craving for White Castle hamburgers and end up on an epic journey of deep thoughts, deeper inhaling and a wild road trip as un-PC ...","Jon Hurwitz, Hayden Schlossberg"
Troll 2,1990,Claudio Fragasso,/movie/troll-2/,Troll 2,1990,Claudio Fragasso,,95,"A vacationing family discovers that the entire town they're visiting is inhabited by goblins, disguised as humans, who plan to eat them.","Claudio Fragasso, Rossella Drudi"
Tank Girl,1995,Rachel Talalay,/movie/tank-girl/,Tank Girl,1995,Rachel Talalay,0.46,104,"A girl is among the few survivors of a dystopian Earth. Riding a war tank, she fights against the tyranny of a mega-corporation that dominates the remaining potable water supply of the planet.","Alan Martin, Jamie Hewlett, Tedi Sarafian"
Bean,1997,Mel Smith,/movie/bean/,Bean,1997,Mel Smith,0.52,90,"Rowan Atkinson is the outrageous Mr. Bean, sent on a mission to California to escort the world famous painting of 'Whistler's Mother' to its new home in The Grierson Gallery. What the gallery owner, one of the richest men in America, and his curator David Langley (MacNicol) believe, is that Mr. Bean is Dr. Bean, a renowned art expert. In...","Rowan Atkinson, Richard Curtis, Robin Driscoll"
Twilight,2008,Catherine Hardwicke,/movie/twilight/,Twilight,2008,Catherine Hardwicke,0.56,122,"Bella Swan has always been a little bit different, never caring about fitting in with the trendy girls at her Phoenix high school. When her mother re-marries and sends Bella to live with her father in the rainy little town of Forks, Washington, she doesn't expect much of anything to change. Then she meets the mysterious and dazzlingly be...","Melissa Rosenberg, Stephenie Meyer"
Black Dynamite,2009,Scott Sanders,/movie/black-dynamite/,Black Dynamite,2009,Scott Sanders,0.65,84,"When “The Man” murders his brother, pumps heroin into local orphanages, and floods the ghetto with adulterated malt liquor, Black Dynamite is the one hero willing to fight all the way from the blood-soaked city streets to the hallowed halls of the Honky House. (Harbor Entertainment)","Michael Jai White, Byron Minns, Scott Sanders"
Starship Troopers,1997,Paul Verhoeven,/movie/starship-troopers/,Starship Troopers,1997,Paul Verhoeven,0.52,129,"From the bridge of the Fleet Battlestation Ticonderoga, with its sweeping galactic views, to the desolate terrain of planet Klendathu, teeming with shrieking, fire-spitting, brain-sucking special effects creatures, acclaimed director Paul Verhoven crafts a dazzling epic based on Robert A. Heinlein's classic sci-fi adventure.  Courageous ...","Edward Neumeier, Robert A. Heinlein"
The Man from U.N.C.L.E.,2015,Guy Ritchie,/movie/the-man-from-uncle/,The Man from U.N.C.L.E.,2015,Guy Ritchie,0.56,116,"In the early 1960s, CIA agent Napoleon Solo (Henry Cavill) and KGB agent Illya Kuryakin (Armie Hammer) are forced to put aside longstanding hostilities and team up on a joint mission to stop a mysterious international criminal organization, which is bent on destabilizing the fragile balance of power through the proliferation of nuclear w...","Guy Ritchie, Lionel Wigram, Jeff Kleeman, David C. Wilson, Sam Rolfe"
Kiss Kiss Bang Bang,2005,Shane Black,/movie/kiss-kiss-bang-bang/,Kiss Kiss Bang Bang,2005,Shane Black,0.73,103,A petty thief (Robert Downey Jr.) posing as an actor is brought to Los Angeles for an unlikely audition and finds himself in the middle of a murder investigation along with his high school dream girl (Michelle Monaghan) and a detective (Val Kilmer) who's been training him for his upcoming role.,"Brett Halliday, Shane Black"
The Boondock Saints,1999,Troy Duffy,/movie/the-boondock-saints/,The Boondock Saints,2000,Troy Duffy,0.44,108,"Two Catholic vigilante killers from Boston (Flannery, Reedus) who believe they are doing God's work kill members of the Russian mob and customers of a porn shop, but instead of paying for their crimes, they are praised as ""saints"" by the local newspaper and by an odd FBI agent (Dafoe).",Troy Duffy
Blade Runner 2049,2017,Denis Villeneuve,/movie/blade-runner-2049/,Blade Runner 2049,2017,Denis Villeneuve,0.81,164,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K (Ryan Gosling), unearths a long-buried secret that has the potential to plunge what’s left of society into chaos. K’s discovery leads him on a quest to find Rick Deckard (Harrison Ford), a former LAPD blade runner who has been missing for 30 years.","Hampton Fancher, Michael Green, Philip K. Dick"
X-Men: First Class,2011,Matthew Vaughn,/movie/x-men-first-class/,X-Men: First Class,2011,Matthew Vaughn,0.65,132,"X-Men: First Class, following the classic Marvel mythology, charts the epic beginning of the X-Men saga. Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were archenemies, they were closest of friends, working together, with ot...","Ashley Miller, Zack Stentz, Jane Goldman, Matthew Vaughn"
Airplane!,1980,"Jim Abrahams, David Zucker, Jerry Zucker",/movie/airplane!/,Airplane!,1980,"Jim Abrahams, David Zucker, Jerry Zucker",0.78,88,A straight-faced yet absurdist comedy about a burned out lovelorn ex-pilot is pressed into service when an airliner's crew succumbs to food poisoning.,"Jim Abrahams, David Zucker, Jerry Zucker, Hall Bartlett, John C. Champion, Arthur Hailey"
Slumdog Millionaire,2008,"Danny Boyle, Loveleen Tandan",/movie/slumdog-millionaire/,Slumdog Millionaire,2008,"Danny Boyle, Loveleen Tandan",0.84,120,"Slumdog Millionaire is the story of Jamal Malik, an 18 year-old orphan from the slums of Mumbai, who is about to experience the biggest day of his life. With the whole nation watching, he is just one question away from winning a staggering 20 million rupees on India’s “Who Wants To Be A Millionaire?”But when the show breaks for the night...","Simon Beaufoy, Vikas Swarup"
The NeverEnding Story,1984,Wolfgang Petersen,/movie/the-neverending-story/,The NeverEnding Story,1984,Wolfgang Petersen,0.49,102,A dreamy young boy discovers an extraordinary storybook-and the fantastical world within its pages. (Warner Bros.),"Wolfgang Petersen, Herman Weigel, Michael Ende, Robert Easton"
Scooby-Doo,2002,Raja Gosnell,/movie/scooby-doo/,Scooby-Doo,2002,Raja Gosnell,0.35,86,Scooby Doo and the Mystery Inc. gang take their animated antics to the big screen as a live-action movie.,"James Gunn, Craig Titley, William Hanna, Joseph Barbera"
A Knight's Tale,2001,Brian Helgeland,/movie/a-knights-tale/,A Knight's Tale,2001,Brian Helgeland,0.56,132,"After serving a number of years as a squire, an earnest young commoner (Heath Ledger) poses as a knight and establishes himself in the jousting tournaments of Europe. He and a princess fall in love, but she is unaware of his deceit and common roots. The false knight is estranged from the princess once his true roots are revealed. He stru...",Brian Helgeland
Back to the Future,1985,Robert Zemeckis,/movie/back-to-the-future/,Back to the Future,1985,Robert Zemeckis,0.87,116,"Marty McFly goes back in time, in a DeLorean invented by his friend, Dr. Emmett Brown, and must make sure his high-school-age parents get together, so he doesn't cease to exist.","Robert Zemeckis, Bob Gale"
Interview with the Vampire,1994,Neil Jordan,/movie/interview-with-the-vampire-the-vampire-chronicles/,Interview with the Vampire: The Vampire Chronicles,1994,Neil Jordan,0.62,123,"The undead are among us and livelier than ever when Tom Cruise, Brad Pitt and a talented group of young-bloods star in Interview with the Vampire, the spellbinding screen adaptation of Anne Rice's best seller.  [Warner Bros.]",Anne Rice
Horrible Bosses,2011,Seth Gordon,/movie/horrible-bosses/,Horrible Bosses,2011,Seth Gordon,0.57,98,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust.  Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid th...","Michael Markowitz, John Francis Daley, Jonathan Goldstein"
Grosse Pointe Blank,1997,George Armitage,/movie/grosse-pointe-blank/,Grosse Pointe Blank,1997,George Armitage,0.76,107,"In this black comedy, a philosophical hit man (Cusack) reluctantly accepts an assignment in Detroit which coincides with his 10-year high school reunion in the upscale suburb of Grosse Point, Michigan.","Tom Jankiewicz, D.V. DeVincentis, Steve Pink, John Cusack"
Mortal Kombat,1995,Paul W.S. Anderson,/movie/mortal-kombat/,Mortal Kombat,1995,Paul W.S. Anderson,0.6,101,"Summoned to a mysterious island, three martial arts warriors engage in the ultimate battle of good vs. evil.  (New Line Cinema)","Ed Boon, John Tobias, Kevin Droney"
Highlander,1986,Russell Mulcahy,/movie/highlander/,Highlander,1986,Russell Mulcahy,0.24,116,"Connor Macleod, an immortal Scottish swordsman, must confront the last of his immortal opponents, a murderously brutal barbarian who lusts for the fabled ""Prize"".","Gregory Widen, Peter Bellwood, Larry Ferguson"
Braveheart,1995,Mel Gibson,/movie/braveheart/,Braveheart,1995,Mel Gibson,0.68,177,"Scottish national hero Sir William Wallace (Gibson), leads a 13th-century rebellion against landowning English nobles.",Randall Wallace
Perfume: The Story of a Murderer,2006,Tom Tykwer,/movie/perfume-the-story-of-a-murderer/,Perfume: The Story of a Murderer,2006,Tom Tykwer,0.56,147,"Based on Patrick Suskind's best-selling novel, Perfume: The Story of a Murderer is set in Paris and revolves around an eccentric 18th century murderer with an extraordinary sense of smell.","Andrew Birkin, Bernd Eichinger, Tom Tykwer, Patrick Süskind"
The Importance of Being Earnest,2002,Oliver Parker,/movie/the-importance-of-being-earnest/,The Importance of Being Earnest,2002,Oliver Parker,0.6,97,A film adaptation of Oscar Wilde's hilarious play about two young gents living in 1890's England who have taken to bending the truth in order to put some excitement into their lives.  (Miramax),"Oscar Wilde, Oliver Parker"
Life as a House,2001,Irwin Winkler,/movie/life-as-a-house/,Life as a House,2001,Irwin Winkler,0.45,125,"The poignant, often humorous journey of one man who decides to tear down his house -- and winds up rebuilding the world around him.  (New Line Cinema)",Mark Andrus
Star Trek,2009,J.J. Abrams,/movie/star-trek/,Star Trek,2009,J.J. Abrams,0.82,127,"The greatest adventure of all time begins with Star Trek, the incredible story of a young crew's maiden voyage onboard the most advanced starship ever created: the U.S.S. Enterprise. On a journey filled with action, comedy and cosmic peril, the new recruits must find a way to stop an evil being whose mission of vengeance threatens all of...","Roberto Orci, Alex Kurtzman, Gene Roddenberry"
Dragonheart,1996,Rob Cohen,/movie/dragonheart/,DragonHeart,1996,Rob Cohen,0.49,103,"The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality.","Patrick Read Johnson, Charles Edward Pogue"
Star Trek Into Darkness,2013,J.J. Abrams,/movie/star-trek-into-darkness/,Star Trek Into Darkness,2013,J.J. Abrams,0.72,132,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction.","Roberto Orci, Alex Kurtzman, Damon Lindelof, Gene Roddenberry"
Star Trek Beyond,2016,Justin Lin,/movie/star-trek-beyond/,Star Trek Beyond,2016,Justin Lin,0.68,122,"The crew of the U.S.S. Enterprise explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.","Simon Pegg, Doug Jung, Gene Roddenberry"
Stardust,2007,Matthew Vaughn,/movie/stardust/,Stardust,2007,Matthew Vaughn,0.66,127,"The enchanting tale of a fallen star who crashes into a magical kingdom and turns out to be no ordinary meteorite at all, but a beautiful, imperiled woman chased after by an incredible array of seekers who want or need her secret powers. From wicked witches to power-mad princes, from flying pirates to dueling goblins, each person who enc...","Jane Goldman, Matthew Vaughn, Neil Gaiman, Charles Vess"
Labyrinth,1986,Jim Henson,/movie/labyrinth/,Labyrinth,1986,Jim Henson,0.5,101,"Babysitting infant stepbrother Toby on a weekend night isn’t young Sarah’s idea of fun. Frustrated by his crying, she secretly imagines the Goblins from her favorite book, Labyrinth, carrying Toby away. When her fantasy comes true, a distraught Sarah must enter a maze of illusion to bring Toby back from a kingdom inhabited by mystical cr...","Dennis Lee, Jim Henson, Terry Jones"
Johnny Mnemonic,1995,Robert Longo,/movie/johnny-mnemonic/,Johnny Mnemonic,1995,Robert Longo,0.36,103,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.",William Gibson
Bedazzled,2000,Harold Ramis,/movie/bedazzled/,Bedazzled,2000,Harold Ramis,0.49,93,"Elliot Richardson (Fraser), a suicidal technical geek, sells his soul to Satan  (Hurley) for seven wishes to turn his life around.  The only catch -- she gets his soul.","Peter Cook, Dudley Moore, Larry Gelbart, Harold Ramis, Peter Tolan"
Black Swan,2010,Darren Aronofsky,/movie/black-swan/,Black Swan,2010,Darren Aronofsky,0.79,108,"Black Swan is a psychological thriller set in the world of New York City ballet. Featured dancer, Nina, finds herself locked in a web of competitive intrigue with a new rival at the company. (Fox Searchlight)","Mark Heyman, Andres Heinz, John J. McLaughlin"
Pokemon: The First Movie,1998,Kunihiko Yuyama,/movie/pokemon-the-movie-2000/,Pokémon: The Movie 2000,2000,Kunihiko Yuyama,0.28,80,"Good forces try to stop Lugia, whose power could destroy the world.","Satoshi Tajiri, Takeshi Shudô"
Demolition Man,1993,Marco Brambilla,/movie/demolition-man/,Demolition Man,1993,Marco Brambilla,0.34,115,"LAPD Sgt. John Spartan (Stallone) and  psychopathic Simon Phoenix (Snipes) are frozen for 70 years after being blamed for the death of hostages. In 2032, Simon escapes and John is unfrozen to help catch him.","Peter M. Lenkov, Robert Reneau, Daniel Waters"
Legend,1985,Ridley Scott,/movie/legend-1986/,Legend,1986,Ridley Scott,0.3,89,A young man must stop the Lord of Darkness from both destroying daylight and marrying the woman he loves.,William Hjortsberg
Sex Drive,2008,Sean Anders,/movie/sex-drive/,Sex Drive,2008,Sean Anders,0.49,109,"Eighteen-year-old Ian Lafferty sets out on a cross country drive with his best friends Lance and Felicia in order to lose his virginity to a red-hot babe he met on the Internet. But the journey, filled with hilarious misadventures and raunchy escapades, teaches all three more than they expected about life and love. Randy, raucous and une...","Sean Anders, John Morris, Andy Behrens"
The Lost Boys,1987,Joel Schumacher,/movie/the-lost-boys/,The Lost Boys,1987,Joel Schumacher,0.63,97,Strange events threaten an entire family when two brothers move with their divorced mother to a California town where the local teenage gang turns out to be a pack of vampires. (Warner Bros.),"Jan Fischer, James Jeremias, Jeffrey Boam"
Short Circuit,1986,John Badham,/movie/short-circuit/,Short Circuit,1986,John Badham,0.5,98,"Number 5 of a group of experimental robots in a lab is electrocuted, suddenly becomes intelligent, and escapes.","S.S. Wilson, Brent Maddock, Jay Tarses"
Elf,2003,Jon Favreau,/movie/elf/,Elf,2003,Jon Favreau,0.66,97,A boy who was raised by Santa's elves returns to New York City to find his biological family.,David Berenbaum
Sister Act,1992,Emile Ardolino,/movie/sister-act/,Sister Act,1992,Emile Ardolino,0.51,100,"When a worldly singer witnesses a mob crime, the police hide her as a nun in a traditional convent where she has trouble fitting in.",Paul Rudnick
Tommy Boy,1995,Peter Segal,/movie/tommy-boy/,Tommy Boy,1995,Peter Segal,0.46,97,"An incompetent, immature, and dimwitted heir to an auto parts factory (Chris Farley) must save the business to keep it out of the hands of his new, con-artist relatives and big business.","Bonnie Turner, Terry Turner"
Idle Hands,1999,Rodman Flender,/movie/idle-hands/,Idle Hands,1999,Rodman Flender,0.31,90,"Anton Tobias (Sawa) wakes up Halloween morning to discover-after watching some TV and perusing the contents of the fridge, oblivious to the pool of blood on the floor-that his parents have been turned into a couple of headless Halloween decorations. After hanging out with his equally irresponsible friends, Mick (Green) and Pnub (Henson),...","Terri Hughes Burton, Ron Milbauer"
Reign of Fire,2002,Rob Bowman,/movie/reign-of-fire/,Reign of Fire,2002,Rob Bowman,0.39,101,An exciting tale of adventure and survival that fuses a medieval past with a post-apocalyptic future.  (Buena Vista Pictures Entertainment),"Gregg Chabot, Kevin Peterka, Matt Greenberg"
Rampant,2018,Kim Sung-hoon,/movie/rampant/,Rampant,2018,Kim Sung-hoon,,129,"A darkness looms over ancient Korea: murderous creatures known as Night Demons have overrun the country. Returning from a long imprisonment abroad, Prince Ganglim discovers that it will take the strength of his entire kingdom to stop the bloody rampage spreading across the nation. [Well Go USA]","Jo-yun Hwang, Shin-yeon Won, Hwang Jo Yoon"
Sorry To Bother You,2018,Boots Riley,/movie/sorry-to-bother-you/,Sorry to Bother You,2018,Boots Riley,0.78,111,"In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a macabre universe.",Boots Riley
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,/movie/three-billboards-outside-ebbing-missouri/,"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,0.88,115,"After months have passed without a culprit in her daughter’s murder case, Mildred Hayes (Frances McDormand) makes a bold move, painting three signs leading into her town with a controversial message directed at William Willoughby (Woody Harrelson), the town's revered chief of police. When his second-in-command Officer Dixon (Sam Rockwell...",Martin McDonagh
Lamb,2021,Valdimar Jóhannsson,/movie/lamb-2021/,Lamb,2021,Valdimar Jóhannsson,0.68,106,A childless couple in rural Iceland make an alarming discovery one day in their sheep barn. They soon face the consequences of defying the will of nature.,"Sjón, Valdimar Jóhannsson"
UNDER THE VOLCANO,2024,Damian Kocur,/movie/under-the-volcano-2024/,Under the Volcano,,Damian Kocur,,105,"A blended Ukrainian family spends the last day of their vacation in Tenerife, Spain. When Russia's invasion of Ukraine strands them on the island, they must contend with isolation, duty, fear - and each other.","Damian Kocur, Marta Konarzewska"
TO A LAND UNKNOWN,2025,Mahdi Fleifel,/movie/to-a-land-unknown/,To a Land Unknown,,Mahdi Fleifel,0.86,105,A Palestinian refugee living on the fringes of society in Athens gets ripped off by a smuggler and sets out to seek revenge.,"Fyzal Boulifa, Mahdi Fleifel, Jason McColgan"
VIET AND NAM,2024,Truong Minh Quy,/movie/viet-and-nam/,Viet and Nam,2025,Minh Quy Truong,0.85,129,"In the underground coal mines, Nam and Viet, young miners, face danger and darkness. One prepares to leave for a new life, but they must find Nam's father's remains, a soldier lost in a faraway forest, retracing the past through memories.",Minh Quy Truong
GRAND TOUR,2024,Miguel Gomes,/movie/grand-tour/,Grand Tour,2025,Miguel Gomes,0.8,128,"Rangoon, Burma, 1917. Edward, a civil servant for the British Empire, runs away from his fiancée Molly the day she arrives to get married. During his travels, however, panic gives way to melancholy. Contemplating the emptiness of his existence, the cowardly Edward wonders what has become of Molly.  Determined to get married and amused by...","Telmo Churro, Maureen Fazendeiro, Miguel Gomes, Mariana Ricardo, Babu Targino"
WHEN FALL IS COMING,2024,François Ozon,/movie/when-fall-is-coming/,When Fall Is Coming,2025,François Ozon,0.76,102,"After a tumultuous life in Paris, Michelle (Hélène Vincent) has retired to a quiet existence in Burgundy,  tending her garden and attending services at her parish. The voracious hostility of her adult daughter Valérie (Ludivine Sagnier) remains Michelle’s great puzzlement: how can a child for whom she sacrificed so much treat her with su...","François Ozon, Philippe Piazzo"
DUDE BRO PARTY MASSACRE III,2015,"Tomm Jacobsen, Michael Rousselet, Jon Salmon",/movie/dude-bro-party-massacre-iii/,Dude Bro Party Massacre III,2015,"Tomm Jacobsen, Michael Rousselet, Jon Salmon",,91,"In the wake of two back-to-back mass murders on Chico's frat row, loner Brent Chirino must infiltrate the ranks of a popular fraternity to investigate his twin brother's murder at the hands of the serial killer known as ""Motherface.""","Alec Owen, Ben Gigli, Brian Firenzi, Jon Salmon, Mike James, Timothy Ciancio"
LATE SPRING,1949,Yasujirô Ozu,/movie/late-spring-1949/,Late Spring (1949),1972,Yasujirô Ozu,0.93,108,"Several people try to talk 27-year-old Noriko into marrying, but all she wants is to keep on caring for her widowed father.","Kazuo Hirotsu, Kôgo Noda, Yasujirô Ozu"
ERIC LARUE,2024,Michael Shannon,/movie/eric-larue/,Eric Larue,2025,Michael Shannon,0.64,119,"Janice (Judy Greer) is struggling; she moves through life as if in a haze, unable to let go of her anger and frustration. While her husband (Alexander Skarsgård) has found refuge at a new church, Janice finds it hard to seek solace in her faith despite her pastor’s pleas to heal her wounds by meeting with the mothers of her son’s victims...",Brett Neveu
TO A LAND UNKNOWN,2024,Mahdi Fleifel,/movie/to-a-land-unknown/,To a Land Unknown,,Mahdi Fleifel,0.86,105,A Palestinian refugee living on the fringes of society in Athens gets ripped off by a smuggler and sets out to seek revenge.,"Fyzal Boulifa, Mahdi Fleifel, Jason McColgan"
DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",/movie/the-infiltrators/,The Infiltrators,2020,"Cristina Ibarra, Alex Rivera",0.74,95,"The Infiltrators is a docu-thriller that tells the true story of young immigrants who are detained by Border Patrol and thrown into a shadowy for-profit detention center—on purpose. Marco and Viri are members of the National Immigrant Youth Alliance, a group of radical DREAMers who are on a mission to stop unjust deportations. And the be...","Cristina Ibarra, Alex Rivera, Aldo Velasco"
DOC10: 2000 METERS TO ANDRIIVKA,2025,Mstyslav Chernov,/movie/2000-meters-to-andriivka/,2000 Meters to Andriivka,,Mstyslav Chernov,0.85,106,"Amid a failing counteroffensive, a journalist follows a Ukrainian platoon on their mission to traverse one mile of heavily fortified forest and liberate a strategic village from Russian occupation. But the farther they advance through their destroyed homeland, the more they realize that this war may never end.",
BASKET CASE,1982,Frank Henenlotter,/movie/basket-case/,Basket Case,1982,Frank Henenlotter,0.77,91,A young man carrying a big basket that contains his extremely deformed Siamese-twin brother seeks vengeance on the doctors who separated them against their will.,Frank Henenlotter
CLOWN IN A CORNFIELD,2025,Eli Craig,/movie/clown-in-a-cornfield/,Clown in a Cornfield,2025,Eli Craig,,96,"Quinn and her father have just moved to the quiet town of Kettle Springs hoping for a fresh start. Instead, she discovers a fractured community that has fallen on hard times after the treasured Baypen Corn Syrup Factory burned down. As the locals bicker amongst themselves and tensions boil over, a sinister, grinning figure emerges from t...","Carter Blanchard, Eli Craig, Adam Cesare"
